"","Country.Name","Country.Code","variable","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)","Births attended by skilled health staff (% of total)","CO2 emissions (metric tons per capita)","Contraceptive prevalence, any methods (% of women ages 15-49)","Domestic credit provided by financial sector (% of GDP)","Electric power consumption (kWh per capita)","Energy use (kg of oil equivalent per capita)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","Forest area (sq. km)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000 live births)","Net barter terms of trade index (2000 = 100)","Net migration","Net official development assistance and official aid received (current US$)","Personal remittances, received (current US$)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, total","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","Statistical Capacity score (Overall average)","Surface area (sq. km)","Tax revenue (% of GDP)","Terrestrial and marine protected areas (% of total territorial area)","Time required to start a business (days)","Total debt service (% of exports of goods, services and primary income)","Urban population growth (annual %)"
"73","Indonesia","IDN",2011,50.681,13.5122870743946,NA,NA,2.46277150275409,61.3,35.5565742704459,680.281417214821,833.562028942305,26.3273530888836,219629383247.4,2.471,20564938226.7185,937476.015625,892969107923.094,6.16978420771008,3010,8610,737717018641.036,2111380501435.96,32.9843332593045,10.6052505386443,80,23.8526600952268,7.1,43.9134234267133,7.46594303367513,69.542,42.6591465057498,0.653776702606807,101.9132298,32.8,132.8844433,NA,402040000,6923970511.39839,135.305953399537,1.34799788882488,245116206,13.3,NA,0.4,NA,97.90902,15.3955398848223,109.1798,1.02226,79.11448,83.3333333333333,1910930,11.1581278507445,NA,NA,14.4139991400971,2.70312087297166
"74","Indonesia","IDN",2012,50.475,13.3739742350727,NA,83.1,2.56418886541464,61.9,39.3251983998467,733.37182682142,853.208344569388,24.5943787881769,252566622897.3,2.455,21200778607.8727,930632.03125,917869910105.749,6.03005065305612,3580,9180,889278532542.61,2280382863212.81,35.0715936108881,10.6466101736385,82,24.9885195110858,7.2,43.5937444233376,3.75387875323653,69.866,41.5879195730494,0.711549473406383,113.4883118,31.5,127.9518919,-454447,69010000,7212196577.5592,137.147564267459,1.35189219176242,248452413,11.6,NA,0.4,NA,103.0983,15.4684373169948,109.2734,1.00822,80.45233,83.3333333333333,1910930,11.3805899447921,NA,NA,16.8053523140364,2.68889723429792
"75","Indonesia","IDN",2013,49.8548,13.3566991621949,NA,87.4,1.94683915145255,62,42.1044859519805,773.987469945264,863.81762843345,23.9235763793605,265468146688.9,2.436,23281742361.5305,923787.96875,912524136718.018,5.55726368891013,3730,9710,939754625213.983,2445162210198.95,33.8313567879018,9.54395553412258,81,24.7137962959288,7.1,42.6356774375889,4.96599029131677,70.179,40.4571216414938,0.918769839183066,124.392499,30.3,121.1722011,NA,69470000,7614419340.02844,138.998990930519,1.34092160105636,251806402,9.4,NA,0.4,19.9,101.1456,15.0049455622559,106.8416,0.98449,82.63764,80,1910930,11.2853014633987,NA,77,20.3567722551764,2.65643699245828
"76","Indonesia","IDN",2014,49.2346,13.3367549992146,NA,NA,1.81937838004494,61.6,42.397868818459,811.906904947585,883.918294134837,23.6659845969367,292991054969,2.413,25120732059.5134,916943.984375,890814755233.225,5.006668425755,3620,10220,922995728689.024,2606343176808.43,34.6003439149803,9.24364420771935,75,24.414190988586,7.2,41.9283421270033,5.44317454935612,70.481,39.7918869122453,0.777855178232831,127.6154409,29.1,120.6625243,NA,-381940000,8551164468.84294,140.833091738106,1.31087690469036,255129004,7.9,NA,0.4,NA,103.4515,14.6165291085025,106.0734,0.98228,82.68238,83.3333333333333,1910930.9375,10.8355237532905,NA,53.9,30.7207621982032,2.61121067598062
"77","Indonesia","IDN",2015,48.6144,13.4926435578886,NA,NA,NA,61.5,42.414880302276,NA,NA,21.1601792598059,306224064329.6,2.389,19779127976.9576,910100,860854235065.079,4.87632230022122,3430,10700,886547499338.417,2763690452511.05,34.0627921803386,8.8702093969982,75,20.7774609817235,7,40.0478624042506,3.98024266013965,70.768,34.0430456240765,0.886971132633338,131.1804585,28,121.2234427,NA,-33400000,9659168638.94442,142.629462841624,1.26746557729354,258383256,7.2,11.2,0.4,NA,NA,12.9666993353049,105.9602,0.98564,86.12275,84.4444666666667,1913580,10.7534877772096,NA,49.3,31.9899927850206,2.54735618736627
"78","Indonesia","IDN",2016,47.9942,13.4787485470271,NA,92.59,NA,59.4,43.0874619068671,NA,NA,19.0889938536665,319012700379.7,2.362,4541713739.23769,903256.015625,931877364177.742,5.0330691828018,3400,11230,890493674187.2,2938047210866.4,33.858739303947,7.94364011887326,76,18.3323479486654,6.9,39.3084439802081,2.43892408688204,71.035,30.0893669895515,0.790694800528013,147.4150225,26.9,122.5420892,NA,-110840000,8906655810.83855,144.379861666952,1.21976561612446,261554226,6.5,10.9,0.4,NA,NA,12.4738232736136,105.6099,0.9959,84.95212,86.6666666666667,1913580,10.3363487033276,5.06335901930066,26.3,40.9794359787237,2.47977758371635
"79","Indonesia","IDN",2017,47.374,13.1541711506008,NA,NA,NA,61.001373133571,42.116622392626,NA,NA,20.1885592572328,350133424083.6,2.336,20510310832.4469,NA,1015423455783.28,5.0674063655857,3530,11880,933370649344.608,3144087539221.39,33.7170780354103,8.20263232842889,75,19.174186233024,6.8,39.3867363200014,4.27498589083966,71.282,32.0803107457,0.804336712672088,164.44059,25.9,127.8847908,-494777,233570000,8989529970.52679,146.086480787383,1.17510259151073,264645886,5.7,10.6,0.4,NA,100.8259,12.1789893902825,105.9114,0.99365,87.05922,86.6666666666667,1913580,9.879192686671,5.26823344567267,24.5,34.1731400159095,2.408459093956
"80","Indonesia","IDN",2018,NA,12.8078635296076,NA,NA,NA,NA,42.7968913765048,NA,NA,20.9656940886152,369840320430.1,NA,20007774753.7803,NA,1042173300625.55,5.17127032830882,3840,12670,1026759691227.39,3392398078244.28,34.5697713823543,8.0183955707513,75,22.0559700304026,NA,39.7304230217544,3.83148621345772,NA,35.399774661139,0.716442832780161,119.8375986,25,123.5000936,NA,NA,11211910768.1826,147.75219008926,1.1337698607638,267663435,NA,9.8,0.4,NA,102.3348,NA,106.4108,0.9934,88.91017,90,1913580,NA,5.26823344567267,21,10.8875523363579,2.34486951482515
"81","Italy","ITA",2009,6.557,1.80273854103193,NA,99.8,6.79565148637292,NA,145.882922359016,5368.39056667135,2869.92071205584,22.3991617339964,NA,1.45,16607196344.8456,89742.001953125,2191241872742.43,-5.2809372082931,37870,34590,2238073510178.29,2044004906868.06,19.508755681307,8.4005084204408,90,23.0196000534853,6.7,21.8848000505181,1.67883895982297,81.6365853658537,37.5136131809683,1.55853634702698,152.3254107,4.1,153.3496603,NA,NA,7041290726.54655,200.908971918134,0.455613449577732,59095365,1,NA,0.3,NA,103.60319,37.3796033985354,103.4859,0.99082,101.41655,NA,301340,22.3730340777296,NA,12.5,NA,0.627292740575372
"82","Italy","ITA",2010,6.336,1.77551453832278,NA,99.9,6.83837457020099,NA,159.784144202427,5493.71103670054,2930.58852412547,25.0740498513169,NA,1.46,9930501390.90911,90280,2134017843247.16,1.71329583916922,37850,35080,2243488938203.6,2079521851032.73,20.5797951615344,8.14785567372224,91,26.932138522965,6.4,21.8657608357681,0.436360537541674,82.0365853658537,43.7836076655422,1.50682091062437,157.8857589,4,139.6341075,NA,NA,7975133246.32034,201.527901679472,0.30759122234095,59277417,1.2,NA,0.3,NA,104.2058,37.0490679642525,102.9937,0.98995,102.9038,NA,301340,22.1697739076165,NA,12.5,NA,0.480438950517546
