"","overall_rank","rank_by_subregion","name","native_names","country","averagearea_km","averagearea_mi","notes"
"57",36,"S03","Ohrid","Охридско Езеро, Ohridsko Ezero, Liqeni i Ohrit","North Macedonia, Albania","358","138","Largest lake in the former Yugoslavia"
"58",37,"E16","Lacha","Lache, Ла́ча, Ла́че","Russia","356","137",""
"59",38,"N15","Siljan","","Sweden","354","137","Group of lakes located in an impact crater"
"60",39,"E17","Manych-Gudilo","Маныч-Гудило","Russia","344","133",""
"61",40,"N16","Puula","","Finland","330","130",""
"62",40,"N16","Torneträsk","Duortnosjávri, Torniojärvi","Sweden","330","130",""
"63",NA,"","Ivankovo","Ivankovskoye Reservoir, Ива́ньковское водохрани́лище","Russia","327","126",""
"64",42,"E18","Vodlozero","Водлозеро, Vodlajärvi","Russia","322","124",""
"65",NA,"","Lokka","Lokan tekojärvi","Finland","315","122","Largest reservoir in Finland"
"66",43,"E19","Umbozero","Умбозеро, Umbajärvi","Russia","313–422","121–163",""
"67",44,"W05","Neusiedl","Neusiedlersee, Fertő tó","Austria, Hungary","315","122",""
"68",45,"N18","Höytiäinen","","Finland","282","109",""
"69",46,"S04","Great Prespa","Преспанското Езеро, Μεγάλη Πρέσπα, Liqeni i Prespës","Albania, Greece, North Macedonia","273","105",""
"70",47,"N19","Võrtsjärv","Vertsjervs, Wirzsee","Estonia","270","100",""
"71",48,"E20","Syamozero","Сямозеро, Säämäjärvi, Seämärvi","Russia","265–270","102–104",""
"72",49,"N20","Akkajaure","","Sweden","261","101","Usually very much smaller, now heavily regulated for a Hydroelectric power plant."
"73",50,"E21","Middle Kuyto","Среднее Куйто, Keski-Kuittijärvi","Russia","257","99",""
"74",51,"N21","Näsijärvi","","Finland","256","99",""
"75",NA,"","Đerdap","","Serbia","253","98",""
"76",52,"N22","Hornavan","","Sweden","252","97","(220–283 km2 (85–109 sq mi))"
"77",NA,"","Alqueva","Barragem de Alqueva","Portugal, Spain","250","97","Largest lake in Portugal"
"78",NA,"","Uglich","Uglichskoye Reservoir, У́гличское водохрани́лище","Russia","249","96",""
